"Pos","Id_pl","Name","Surname","Country","Pts","Date"
5,4,"Wayne","Ferreira","RSA",707,"1996-03-31"
6,36,"Carlos","Moya","ESP",597,"1996-03-31"
7,1,"Pete","Sampras","USA",589,"1996-03-31"
8,6,"Michael","Chang","USA",547,"1996-03-31"
9,5,"Thomas","Muster","AUT",468,"1996-03-31"
10,29,"Cedric","Pioline","FRA",436,"1996-03-31"
11,27,"Byron","Black","ZIM",343,"1996-03-31"
12,14,"Marc","Rosset","SUI",300,"1996-03-31"
13,28,"Guy","Forget","FRA",215,"1996-03-31"
14,17,"Arnaud","Boetsch","FRA",212,"1996-03-31"
15,19,"Todd","Martin","USA",163,"1996-03-31"
16,12,"Richard","Krajicek","NED",149,"1996-03-31"
17,16,"Michael","Stich","GER",142,"1996-03-31"
18,9,"Thomas","Enqvist","SWE",133,"1996-03-31"
19,33,"Javier","Frana","ARG",90,"1996-03-31"
20,18,"Andrei","Medvedev","UKR",84,"1996-03-31"
21,31,"Kenneth","Carlsen","DEN",80,"1996-03-31"
22,34,"Marcelo","Rios","CHI",78,"1996-03-31"
23,15,"Andrea","Gaudenzi","ITA",69,"1996-03-31"
24,21,"Bartlomiej","Dabrowski","POL",58,"1996-03-31"
25,30,"Alejandro","Hernandez","MEX",48,"1996-03-31"
26,11,"Jim","Courier","USA",36,"1996-03-31"
27,32,"Olivier","Rochus","BEL",34,"1996-03-31"
28,37,"Marat","Safin","RUS",30,"1996-03-31"
29,10,"Goran","Ivanisevic","CRO",26,"1996-03-31"
29,13,"Sergi","Bruguera","ESP",26,"1996-03-31"
29,20,"Wojciech","Kowalski","POL",26,"1996-03-31"
29,23,"Stefan","Edberg","SWE",26,"1996-03-31"
29,25,"Mark","Knowles","BAH",26,"1996-03-31"
29,35,"Nicolas","Periera","URG",26,"1996-03-31"
35,22,"Greg","Rusedski","GBR",9,"1996-03-31"
36,26,"Grant","Connell","CAN",2,"1996-03-31"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",1813,"1996-04-07"
2,3,"Boris","Becker","GER",1119,"1996-04-07"
3,8,"Mark","Philippoussis","AUS",1020,"1996-04-07"
4,7,"Yevgeny","Kafelnikow","RUS",975,"1996-04-07"
5,4,"Wayne","Ferreira","RSA",707,"1996-04-07"
6,36,"Carlos","Moya","ESP",597,"1996-04-07"
7,1,"Pete","Sampras","USA",589,"1996-04-07"
8,6,"Michael","Chang","USA",547,"1996-04-07"
9,5,"Thomas","Muster","AUT",468,"1996-04-07"
10,29,"Cedric","Pioline","FRA",436,"1996-04-07"
11,27,"Byron","Black","ZIM",343,"1996-04-07"
12,14,"Marc","Rosset","SUI",300,"1996-04-07"
13,28,"Guy","Forget","FRA",215,"1996-04-07"
14,17,"Arnaud","Boetsch","FRA",212,"1996-04-07"
15,9,"Thomas","Enqvist","SWE",163,"1996-04-07"
15,19,"Todd","Martin","USA",163,"1996-04-07"
17,12,"Richard","Krajicek","NED",151,"1996-04-07"
18,16,"Michael","Stich","GER",142,"1996-04-07"
19,33,"Javier","Frana","ARG",90,"1996-04-07"
20,18,"Andrei","Medvedev","UKR",84,"1996-04-07"
21,31,"Kenneth","Carlsen","DEN",80,"1996-04-07"
22,34,"Marcelo","Rios","CHI",78,"1996-04-07"
23,15,"Andrea","Gaudenzi","ITA",69,"1996-04-07"
24,21,"Bartlomiej","Dabrowski","POL",58,"1996-04-07"
25,30,"Alejandro","Hernandez","MEX",48,"1996-04-07"
26,11,"Jim","Courier","USA",36,"1996-04-07"
27,32,"Olivier","Rochus","BEL",34,"1996-04-07"
28,37,"Marat","Safin","RUS",30,"1996-04-07"
29,10,"Goran","Ivanisevic","CRO",28,"1996-04-07"
30,13,"Sergi","Bruguera","ESP",26,"1996-04-07"
30,20,"Wojciech","Kowalski","POL",26,"1996-04-07"
30,23,"Stefan","Edberg","SWE",26,"1996-04-07"
30,25,"Mark","Knowles","BAH",26,"1996-04-07"
30,35,"Nicolas","Periera","URG",26,"1996-04-07"
30,40,"Leander","Paes","IND",26,"1996-04-07"
36,22,"Greg","Rusedski","GBR",9,"1996-04-07"
37,26,"Grant","Connell","CAN",2,"1996-04-07"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",1899,"1996-04-14"
2,3,"Boris","Becker","GER",1149,"1996-04-14"
3,7,"Yevgeny","Kafelnikow","RUS",1053,"1996-04-14"
4,8,"Mark","Philippoussis","AUS",1018,"1996-04-14"
5,36,"Carlos","Moya","ESP",824,"1996-04-14"
6,6,"Michael","Chang","USA",729,"1996-04-14"
7,4,"Wayne","Ferreira","RSA",707,"1996-04-14"
8,1,"Pete","Sampras","USA",619,"1996-04-14"
9,5,"Thomas","Muster","AUT",472,"1996-04-14"
10,29,"Cedric","Pioline","FRA",466,"1996-04-14"
11,28,"Guy","Forget","FRA",397,"1996-04-14"
12,27,"Byron","Black","ZIM",369,"1996-04-14"
13,14,"Marc","Rosset","SUI",300,"1996-04-14"
14,17,"Arnaud","Boetsch","FRA",212,"1996-04-14"
15,34,"Marcelo","Rios","CHI",191,"1996-04-14"
16,9,"Thomas","Enqvist","SWE",163,"1996-04-14"
16,19,"Todd","Martin","USA",163,"1996-04-14"
18,12,"Richard","Krajicek","NED",151,"1996-04-14"
19,16,"Michael","Stich","GER",144,"1996-04-14"
20,18,"Andrei","Medvedev","UKR",124,"1996-04-14"
21,33,"Javier","Frana","ARG",122,"1996-04-14"
22,31,"Kenneth","Carlsen","DEN",80,"1996-04-14"
23,15,"Andrea","Gaudenzi","ITA",73,"1996-04-14"
24,21,"Bartlomiej","Dabrowski","POL",58,"1996-04-14"
25,30,"Alejandro","Hernandez","MEX",48,"1996-04-14"
26,11,"Jim","Courier","USA",36,"1996-04-14"
27,32,"Olivier","Rochus","BEL",34,"1996-04-14"
